"R","J","A"
0.0278287197712794,0.723300078769504,0.248871201459216
0.0493307805596008,0.492572910440241,0.458096309000158
0.161623564022628,0.490555422721155,0.347821013256217
0.0920320266782243,0.150539938776075,0.757428034545701
0.0472553712591906,0.374438206943617,0.578306421797192
0.178444917690287,0.26304505195388,0.558510030355833
0.00321084884333673,0.34031128191415,0.656477869242513
0.0394537012492876,0.379334737745608,0.581211561005105
0.11392978971813,0.282719076543821,0.603351133738049
0.00147708196233469,0.343609537423874,0.654913380613792
0.210772919345478,0.127466996726336,0.661760083928186
0.0114731805480092,0.390460182302568,0.598066637149423
0.0786788716213826,0.494599519753299,0.426721608625319
0.344431535544525,0.389978250984581,0.265590213470894
0.0221691071906457,0.752335468102729,0.225495424706625
0.0856776747083833,0.378515245039031,0.535807080252586
0.116892045508347,0.581740951996839,0.301367002494814
0.00881037442747632,0.201125927846375,0.790063697726149
0.111859796970241,0.212696766420217,0.675443436609542
0.0681338979176233,0.425264550505037,0.50660155157734
0.0101367513764589,0.296786467012874,0.693076781610667
0.109417429822599,0.257362677165098,0.633219893012303
0.0335890661070107,0.453792352558507,0.512618581334482
0.15273064794822,0.151851787554095,0.695417564497685
0.0284368288491121,0.22922009315949,0.742343077991398
0.0610958836559021,0.545531016807746,0.393373099536352
0.0497444813581057,0.346633388870149,0.603622129771745
0.0460338401904532,0.219775409154788,0.734190750654759
0.0371339831939084,0.381611942465921,0.581254074340171
0.0646087068613546,0.177831830738903,0.757559462399742
0.132011859206429,0.329087792375841,0.53890034841773
0.0764791481407493,0.479345782490997,0.444175069368253
0.0193685724669448,0.484218710338699,0.496412717194356
0.10684394894808,0.315025951908597,0.578130099143323
0.0660069090251842,0.196027635773276,0.73796545520154
0.35224964408796,0.11678632176655,0.53096403414549
0.000339622016518675,0.26916910859319,0.730491269390291
0.000415979264341942,0.730576812319367,0.269007208416291
0.0631693717646858,0.450545465907648,0.486285162327666
0.0172521467569168,0.624353270545607,0.358394582697476
0.0607075949479044,0.36532302218807,0.573969382864026
0.0300530109828332,0.121160603526736,0.848786385490431
0.012522413358797,0.693412122050292,0.294065464590911
0.154795070928065,0.330409788350696,0.514795140721239
0.0249856667737556,0.343371878191245,0.631642455034999
0.0711093438342272,0.48541228395471,0.443478372211063
0.0881121629658214,0.297068139851053,0.614819697183126
0.0138273366431422,0.524223389652705,0.461949273704153
0.320119672495522,0.345014040469992,0.334866287034486
0.0193014102967672,0.21867589634236,0.762022693360873
0.0646508617284279,0.435955849757438,0.499393288514134
0.0210677433508912,0.472653504777417,0.506278751871692
0.364586098336315,0.255141530014343,0.380272371649342
0.0235271645252796,0.159865294674914,0.816607540799807
0.0519598556655364,0.362911105400733,0.585129038933731
0.169050105279317,0.157831339522188,0.673118555198496
0.0189846651306878,0.19681137335622,0.784203961513093
0.173762756614348,0.357516990150532,0.46872025323512
0.19046654572419,0.477349326850619,0.332184127425191
0.120197408770155,0.225051387751842,0.654751203478003
0.0874575201373433,0.347011930995782,0.565530548866875
0.264242993193707,0.275050074205359,0.460706932600934
0.0507175223055864,0.494012890033454,0.45526958766096
0.0329745843781872,0.307476549846657,0.659548865775156
0.209904277205397,0.219556492913235,0.570539229881368
0.142521634471251,0.167345069822637,0.690133295706112
0.190358089206985,0.134964204565238,0.674677706227778
0.0725181852531005,0.300905213788597,0.626576600958303
0.130230268764037,0.140548201871658,0.729221529364305
0.0257327481238579,0.37137400485606,0.602893247020082
0.0533678655680265,0.310008031067378,0.636624103364595
0.159998755523609,0.487243694802751,0.352757549673639
0.0614500431906404,0.450596352775293,0.487953604034067
0.047314043587872,0.532554539265313,0.420131417146815
0.0503782077095984,0.168063373653002,0.781558418637399
0.089887760538914,0.63225544404018,0.277856795420906
0.204538107767567,0.518580207621149,0.276881684611284
0.364110524366613,0.309173411322113,0.326716064311274
0.0932096572822616,0.453486896572078,0.45330344614566
0.0175523284681085,0.162699914047953,0.819747757483939
0.00416001699438195,0.167402945853402,0.828437037152216
0.0344417278858777,0.348318060700861,0.617240211413262
0.037194883235557,0.582343146786873,0.38046196997757
0.00329824198740568,0.32341046375963,0.673291294252965
0.160512284087486,0.190986963820942,0.648500752091572
0.0193314125561326,0.416161955654042,0.564506631789825
0.0242273175993906,0.366374815663959,0.60939786673665
0.130208603340473,0.329772940796021,0.540018455863507
0.054756292606095,0.0677960526456546,0.87744765474825
0.199206488667257,0.317358801226455,0.483434710106288
0.114887262001308,0.24832299507871,0.636789742919983
0.12180305094353,0.366874159451627,0.511322789604843
0.121217565153212,0.127388787199941,0.751393647646847
0.068872705296195,0.570696450528966,0.360430844174839
0.117338029839546,0.401762867997236,0.480899102163218
0.168537601254141,0.206896199633494,0.624566199112365
0.366225940010406,0.358322052302227,0.275452007687367
0.101687425569682,0.209117020906685,0.689195553523632
0.00805809192527473,0.558163172190721,0.433778735884005
0.13284658977866,0.543861029306552,0.323292380914787
0.00944729156201905,0.45003089358175,0.540521814856231
0.0538726398325101,0.119129977193405,0.826997382974084
0.0707875399840415,0.477882298699399,0.45133016131656
0.096973188935122,0.332917859344668,0.57010895172021
0.035599755726278,0.544413812980468,0.419986431293254
0.0366732413838941,0.338157069139745,0.62516968947636
0.0183569858221902,0.493901025191122,0.487741988986688
0.0506940350457848,0.273871284002769,0.675434680951447
0.10634747999682,0.223783272320321,0.669869247682859
0.177202615516477,0.381049681586679,0.441747702896844
0.138622231068119,0.248106077581537,0.613271691350344
0.0312613264579437,0.177180762769048,0.791557910773008
0.17756288193923,0.27539676410019,0.547040353960581
0.0537476782329428,0.361736458251145,0.584515863515912
0.00220427052239713,0.348642900489128,0.649152828988475
0.127498871926182,0.264485366531122,0.608015761542696
0.0266666776514134,0.19474811494544,0.778585207403147
0.155199594330833,0.115285341351658,0.729515064317508
0.147303101233597,0.264474132461786,0.588222766304617
0.048170694802528,0.480078242868252,0.47175106232922
0.183264590681092,0.275494789611652,0.541240619707256
0.141974759451734,0.296844700041947,0.561180540506319
0.0626510019343877,0.275306889777292,0.66204210828832
0.0813939607682431,0.47894584511883,0.439660194112927
0.229541556522072,0.118364536326853,0.652093907151075
0.0211626356510069,0.262357700458419,0.716479663890574
0.0441963892784914,0.379831354859742,0.575972255861766
0.0210139265585534,0.554415122711067,0.424570950730379
0.0593901336839805,0.247370550105513,0.693239316210507
0.154544035134045,0.371082751762972,0.474373213102983
0.0831902525866024,0.52175409113711,0.395055656276288
0.23085926134376,0.386481127548107,0.382659611108132
0.394926698171055,0.134754134513784,0.470319167315161
